sessionid,day,time,duration,room,track,type,kids category,title,description,participants
1,Sat,1:00 PM,1hr 15min,Marina 2,Media,Panel,Welcome,Movie Year in Review,"Our annual look back at the year in SF, horror, and fantasy film. Our panel of experts will cover every theatrical release of 2019. Find out which ones are worth catching up with. Note: Time for audience participation is reserved for the end of our panel's high speed review."," Megan Kearns, Randee Dawn, Deirdre Crimmins (m), Monica Castillo"
2,Sun,2:30 PM,1hr 15min,Marina 2,Media,Panel,Welcome,TV Year in Review,"Our annual look back at SF, horror, and fantasy in 2019 on TV (including streaming services). What were the memorable shows? What are the new ones to watch? What's hot and what's not? Note: Time for audience participation is reserved for the end of our panel's high speed review."," Randee Dawn (m), Marianna Martin PhD, Timothy J Tero, Ari Donnelly, Gordon Linzner"
3,Sun,4:00 PM,1hr 15min,Otis,Media,Panel,Welcome,Star Wars: Episode 2020: The Fandom Gabfest,"Last month, The Rise of Skywalker hit screens, and with it the Star Wars sequel trilogy came to a close. That won't be the last we interact with this world, however; the tepid audience response for Solo may have encouraged Disney to dial back on the ""new film every year"" pace, but there's still plenty of lightsabers in our future, with new trilogies from both Rian Johnson and from David Benihoff & D.B. Weiss on the horizon. We'll reflect on the state of Star Wars and discuss what's next!"," Mink Rose, Jennifer Pelland, Dan Toland (m), Kevin Cafferty, Monica Castillo"
4,Sat,4:00 PM,1hr 15min,Marina 2,Media,Panel,Welcome,"Marvel Cinematic Universe, 2019 Edition","While we could spend an entire panel talking about Avengers: Endgame and the culmination of an eleven-year, 22 film epic storytelling event, 2019 had Captain Marvel and Spider-Man: Far From Home hit theaters as well. Further, with the Disney/Fox merger, Dark Phoenix retroactively became Kevin Feige's problem. With a slew of forthcoming announcements at this year's SDCC panel, come talk with us about the shakeups to the Marvel Universe and where things will go from here!"," Marianna Martin PhD, Timothy Luz, Troy Minkowsky, Morgan Crooks (m), Sara Codair"
5,Sat,2:30 PM,1hr 15min,Marina 2,Media,Panel,Welcome,Box Office Bombs That Are Better Than You Think,"Every year there's a film that comes out and tanks something awful. Sometimes, however, that's not because they were terrible; perhaps the studio overspent, or promotion was lacking, or the stars failed to align, and a worthy(-ish) film just didn't work. Perhaps you thought Hugo was gorgeous, or John Carter was fun, or you're the one who'll defend Speed Racer to anyone who'll listen. What movies do you feel deserve a better reputation, despite their not having been financially successful?"," Deirdre Crimmins, Gabriel Valdez, Griffin Ess , Sonya Taaffe (m), Ari Donnelly"
7,Sun,10:00 AM,1hr 15min,Marina 1,Media,Panel,Welcome,2019: The Year in Horror,"2019 had something for every horror film aficionado. Brightburn gave us the darker side of superheroes. Scary Stories To Tell in the Dark aimed its scares squarely at younger audiences. Blumhouse Pictures continued its run of offerings like Ma and Happy Death Day 2U. Big releases (It: Chapter Two, Us, Midsommar), reboots of old favorites (Child's Play, Pet Sematary) and comedies (The Dead Don't Die, Zombieland: Double Tap) filled out the roster. We'll run down the best of what we saw this year!"," Deirdre Crimmins, Timothy Luz, Megan Kearns, Corinne Luz (m), Troy Minkowsky"
8,Fri,5:30 PM,1hr 15min,Marina 1,Media,Panel,PG,Introduction to Anime,"Streaming services make anime easier to access than ever before, but the sheer number of options can be daunting for a new viewer or returning fan. Our panelists help guide you to your new favorite series based on what you've watched before (whether it was Sailor Moon in the 1990s or Pokemon yesterday) or based on non-anime genres you enjoy (what could you watch if you like Star Wars or Stranger Things?) What resources are out there that might guide you to other shows once you leave Arisia?"," Richard Ralston (m), Reuben Baron, Julia Pugliese, Paul Geromini, Joseph Andelman"
10,Sat,10:00 AM,1hr 15min,Faneuil,Media,Panel,Welcome,Guillermo del Toro: The Night Eternal,"For thirty-five years, Guillermo del Toro has brought his uniquely dark and beautiful vision to the screens. From his early Spanish-language fantasies (Cronos, The Devil's Backbone, Pan's Labyrinth) to big-budget Hollywood blockbusters (Blade II, Hellboy, Pacific Rim), to his Oscar-winning The Shape of Water, he has proven equally at home helming all manner of stories. We'll look at the remarkable career of this visionary filmmaker."," Deirdre Crimmins, Gabriel Valdez, Reuben Baron, Liz Salazar, Monica Castillo"
11,Sat,10:00 PM,1hr 15min,Marina 4,Media,Panel,Welcome,Rocky Horror: A Wild and Untamed Thing at 45,"In 1975, this adaptation of Richard O'Brien's cult stage sensation fared poorly with audiences. But within a year, The Rocky Horror Picture Show became a midnight favorite as a new crowd discovered it, and with it a community that accepted and upraised them. More of an event than a movie, we'll look back on our own experiences with a film that launched careers, celebrated cheesy B-movies, and had us milling around Church Street in Harvard Square every weekend."," Max Impakt / Ask Kaylee Frye, Susan Weiner, Dan ""Grim"" Marsh (m), Sam Schreiber, Kristina Carroll"
13,Mon,10:00 AM,1hr 15min,Faneuil,Media,Panel,Welcome,Pixar: 25 Years (and Beyond!),"After producing a handful of shorts, Pixar made its mark with the theatrical release of Toy Story, a feature-length triumph of what was then the relatively new field of computer animation. 25 years and 21 films later, we'll gather to discuss the remarkable body of work that's defined animated storytelling for a generation."," Christopher K. Davis, Rachel Kenley, Andy Hicks, Heather Urbanski (m), Arthur Chu"
